School Name,Course Count,Motto,Logo Path
清华大学,482门课程,Nothing,https://qn-next.xuetangx.com/15675957781755.png
北京大学,31门课程,Nothing,https://qn-next.xuetangx.com/15676658461917.png
北京师范大学,86门课程,Nothing,https://qn-next.xuetangx.com/15676647296030.png
国防科技大学,26门课程,Nothing,https://qn-next.xuetangx.com/15678584742385.png
西安交通大学,109门课程,精勤求学 敦笃励志 果毅力行 忠恕任事,https://qn-next.xuetangx.com/15676647662006.png
哈尔滨工业大学,59门课程,Nothing,https://qn-next.xuetangx.com/15676633681001.png
华南理工大学,56门课程,博学慎思，明辨笃行,https://qn-next.xuetangx.com/15676651622880.png
南开大学,48门课程,Nothing,https://qn-next.xuetangx.com/15676640962970.png
复旦大学,27门课程,博学而笃志，切问而近思,https://qn-next.xuetangx.com/15676647872668.png
南京大学,34门课程,Nothing,https://qn-next.xuetangx.com/16696920837327.png
中国科学技术大学,8门课程,Nothing,https://qn-next.xuetangx.com/15677716776336.png
北京理工大学,149门课程,德以明理 学以精工,https://qn-next.xuetangx.com/15676664333081.png
重庆大学,67门课程,Nothing,https://qn-next.xuetangx.com/15676620611734.png
暨南大学,113门课程,忠信笃敬,https://qn-next.xuetangx.com/15676560441782.png
东北大学,55门课程,Nothing,https://qn-next.xuetangx.com/16630634623146.png
中南大学,51门课程,知行合一、经世致用,https://qn-next.xuetangx.com/15677717392709.png
云南大学,46门课程,Nothing,https://qn-next.xuetangx.com/15676661545606.png
山东大学,129门课程,Nothing,https://qn-next.xuetangx.com/15677710342916.png
西北工业大学,63门课程,Nothing,https://qn-next.xuetangx.com/15676666402077.png
四川大学,68门课程,Nothing,https://qn-next.xuetangx.com/16391073942389.png
大连理工大学,20门课程,Nothing,https://qn-next.xuetangx.com/15676687283168.png
湖南大学,28门课程,实事求是，敢为人先,https://qn-next.xuetangx.com/15676657271266.png
天津大学,23门课程,Nothing,https://qn-next.xuetangx.com/15676654062899.png
武汉大学,57门课程,自强 弘毅 求是 拓新,https://qn-next.xuetangx.com/15737983671386.png
上海交通大学,4门课程,Nothing,https://qn-next.xuetangx.com/15719010601736.png
浙江大学,10门课程,Nothing,https://qn-next.xuetangx.com/15676664825294.png
北京体育大学,43门课程,Nothing,https://qn-next.xuetangx.com/15676672001543.png
河北工业大学,28门课程,Nothing,https://qn-next.xuetangx.com/15677702292149.png
中国石油大学（北京）,27门课程,Nothing,https://qn-next.xuetangx.com/15677717148548.png
南昌大学,32门课程,Nothing,https://qn-next.xuetangx.com/15676636022283.png
SDG Academy,14门课程,Nothing,https://qn-next.xuetangx.com/15677718183205.png
